dataEfetiva,categoria,valorEfetivo,descricao
2025-07-17T00:00:00,1.1.1 Locação de Veiculos,419.3,LOCAÇÃO DE MOTO RESERVA W&W 
2025-07-10T00:00:00,1.1.2 Taxa de Manutenção,204.0,MANUTENÇÃO CORRETIVA 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,17.62,MANUTENÇÃO CORRETIVA 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,17.19,MANUTENÇÃO CORRETIVA 
2025-07-11T00:00:00,1.1.2 Taxa de Manutenção,18.91,MANUTENÇÃO CORRETIVA 
2025-07-14T00:00:00,1.1.2 Taxa de Manutenção,18.91,MANUTENÇÃO CORRETIVA 
2025-07-14T00:00:00,1.1.2 Taxa de Manutenção,44.9,MANUTENÇÃO CORRETIVA 
2025-07-15T00:00:00,1.1.2 Taxa de Manutenção,42.9,MANUTENÇÃO CORRETIVA -  TGW9J57 
2025-07-01T00:00:00,1.1.2 Taxa de Manutenção,200.0,MANUTENÇÃO CORRETIVA - SJX1E19 
2025-07-07T00:00:00,1.1.2 Taxa de Manutenção,40.0,MANUTENÇÃO CORRETIVA - SJX8B47 
2025-07-08T00:00:00,1.1.2 Taxa de Manutenção,17.62,MANUTENÇÃO CORRETIVA - SKI7J01 
2025-07-14T00:00:00,1.1.2 Taxa de Manutenção,44.9,MANUTENÇÃO CORRETIVA - SKK7I50 
2025-07-07T00:00:00,1.1.2 Taxa de Manutenção,20.0,MANUTENÇÃO CORRETIVA - SKL7A45 
2025-07-28T00:00:00,1.1.2 Taxa de Manutenção,25.0,MANUTENÇÃO CORRETIVA - SKM3I97 
2025-07-07T00:00:00,1.1.2 Taxa de Manutenção,19.0,MANUTENÇÃO CORRETIVA - SKM6J04 
2025-07-17T00:00:00,1.1.2 Taxa de Manutenção,50.98,MANUTENÇÃO CORRETIVA - SKM7H33 
2025-07-01T00:00:00,1.1.2 Taxa de Manutenção,126.0,MANUTENÇÃO CORRETIVA - SKN4I79 
2025-07-04T00:00:00,1.1.2 Taxa de Manutenção,60.0,MANUTENÇÃO CORRETIVA - SKP9E30 
2025-07-21T00:00:00,1.1.2 Taxa de Manutenção,17.0,MANUTENÇÃO CORRETIVA - SKT1C71 
2025-07-25T00:00:00,1.1.2 Taxa de Manutenção,75.49,MANUTENÇÃO CORRETIVA - TGR2E78 
2025-07-09T00:00:00,1.1.2 Taxa de Manutenção,97.5,MANUTENÇÃO CORRETIVA - TGR8D27 
2025-07-03T00:00:00,1.1.2 Taxa de Manutenção,80.75,MANUTENÇÃO CORRETIVA - TGU8A35 
2025-07-03T00:00:00,1.1.2 Taxa de Manutenção,250.0,MANUTENÇÃO CORRETIVA - TGU9I75 
2025-07-29T00:00:00,1.1.2 Taxa de Manutenção,150.0,MANUTENÇÃO CORRETIVA - TGY3G09 
2025-07-08T00:00:00,1.1.2 Taxa de Manutenção,50.0,MANUTENÇÃO CORRETIVA - TMH4b79 
2025-07-18T00:00:00,1.1.6 Taxa de Seguro,200.0,PAGAMENTO GUINCHO 
2025-07-08T00:00:00,"1.3.3 Devolução, Reembolso e Estorno",799.3,PIX INDEVIDO 
2025-07-28T00:00:00,1.3.4 Juros e Multas recebidas,300.0,RECEBIMENTO DE MULTA - SJX8B19 
2025-07-01T00:00:00,"1.3.3 Devolução, Reembolso e Estorno",400.0,RECEBIMENTO INDEVIDO 
2025-07-03T00:00:00,1.1.6 Taxa de Seguro,306.08,RECEBIMENTO MULTA CAMINHÃO W&W 
2025-07-04T00:00:00,"1.3.3 Devolução, Reembolso e Estorno",600.0,REEMBOLSO DILIGENCIA DE MOTOS 
2025-07-04T00:00:00,1.3.7 Programa de Indicação,1000.0,REEMBOLSO INDIQUE E GANHE 
2025-07-14T00:00:00,1.3.7 Programa de Indicação,1000.0,REEMBOLSO INDIQUE E GANHE 
2025-07-22T00:00:00,1.2.6 Rendimentos / Aplicação Financeira,0.03,REND PAGO APLIC AUT APR 
2025-07-29T00:00:00,1.2.6 Rendimentos / Aplicação Financeira,0.01,REND PAGO APLIC AUT APR 
2025-07-03T00:00:00,1.2.6 Rendimentos / Aplicação Financeira,0.02,REND PAGO APLIC AUT MAIS 
2025-07-04T00:00:00,1.2.6 Rendimentos / Aplicação Financeira,0.03,REND PAGO APLIC AUT MAIS 
2025-07-17T00:00:00,1.2.6 Rendimentos / Aplicação Financeira,0.04,RENDIMENTO 
2025-07-18T00:00:00,1.2.6 Rendimentos / Aplicação Financeira,0.05,RENDIMENTO 
2025-07-10T00:00:00,1.2.6 Rendimentos / Aplicação Financeira,0.06,RENDIMENTO ITAU 
2025-07-25T00:00:00,1.1.6 Taxa de Seguro,175.0,RESGATE DE MOTO 
2025-07-28T00:00:00,1.1.6 Taxa de Seguro,175.0,RESGATE DE MOTO 
2025-07-21T00:00:00,1.1.6 Taxa de Seguro,175.0,RESGATE DE MOTO - SKM7I85 
2025-07-23T00:00:00,1.1.6 Taxa de Seguro,175.0,RESGATE DE MOTO PLACA SKN0F63 
2025-07-21T00:00:00,1.1.2 Taxa de Manutenção,1949.39,SERVIÇOS E PEÇAS 
2025-07-09T00:00:00,1.1.5 Taxa de Espaço,641.67,TAXA DE ESPAÇO 
2025-07-09T00:00:00,1.1.5 Taxa de Espaço,1200.0,TAXA DE ESPAÇO 
2025-07-09T00:00:00,1.1.5 Taxa de Espaço,1933.36,TAXA DE ESPAÇO 
2025-07-10T00:00:00,1.1.5 Taxa de Espaço,1750.0,TAXA DE ESPAÇO 
2025-07-10T00:00:00,1.1.5 Taxa de Espaço,3425.01,TAXA DE ESPAÇO 
